asignacion_id,fecha,bloque_noche,elegible_antes_asignacion,variante,mensaje,prepedido_completado,espera_entrega_min,cancelacion,valor_pedido_mxn
L9-X024,2027-12-04,L9-N064,1,A,confirmación_simple,1,6.3,0,236.36
L9-X025,2027-12-05,L9-N065,1,A,confirmación_simple,1,7.1,0,209.33
L9-X026,2027-12-08,L9-N066,1,A,confirmación_simple,0,7.2,0,0.0
L9-X027,2027-12-09,L9-N067,1,A,confirmación_simple,0,10.5,0,0.0
L9-X028,2027-12-10,L9-N068,1,B,confirmación_con_ventana,0,8.8,1,0.0
L9-X029,2027-12-11,L9-N069,1,A,confirmación_simple,0,7.3,0,0.0
L9-X030,2027-12-12,L9-N070,1,A,confirmación_simple,1,8.3,0,245.4
L9-X031,2027-12-15,L9-N071,1,A,confirmación_simple,1,8.0,0,185.1
L9-X032,2027-12-16,L9-N072,1,B,confirmación_con_ventana,1,6.8,0,188.66
L9-X033,2027-12-17,L9-N073,1,A,confirmación_simple,0,6.3,0,0.0
L9-X034,2027-12-18,L9-N074,1,B,confirmación_con_ventana,1,6.0,0,313.93
L9-X035,2027-12-19,L9-N075,1,B,confirmación_con_ventana,1,7.1,0,260.26
L9-X036,2027-12-22,L9-N076,1,A,confirmación_simple,0,7.7,0,0.0
L9-X037,2027-12-23,L9-N077,1,A,confirmación_simple,1,9.4,0,279.76
L9-X038,2027-12-24,L9-N078,1,B,confirmación_con_ventana,1,8.4,0,283.44
L9-X039,2027-12-25,L9-N079,1,B,confirmación_con_ventana,1,7.3,0,234.21
L9-X040,2027-12-26,L9-N080,1,A,confirmación_simple,1,9.8,0,204.61
L9-X041,2027-12-29,L9-N081,1,B,confirmación_con_ventana,0,8.2,0,0.0
L9-X042,2027-12-30,L9-N082,1,A,confirmación_simple,0,4.8,0,0.0
L9-X043,2027-12-31,L9-N083,1,A,confirmación_simple,1,3.6,0,192.14
L9-X044,2028-01-01,L9-N084,1,B,confirmación_con_ventana,1,9.2,0,263.32
L9-X045,2028-01-02,L9-N085,1,A,confirmación_simple,1,6.6,0,207.37
L9-X046,2028-01-05,L9-N086,1,A,confirmación_simple,0,8.8,0,0.0
L9-X047,2028-01-06,L9-N087,1,B,confirmación_con_ventana,1,10.2,0,219.34
L9-X048,2028-01-07,L9-N088,1,B,confirmación_con_ventana,1,8.6,0,286.37
L9-X049,2028-01-08,L9-N089,1,B,confirmación_con_ventana,0,8.2,0,0.0
L9-X050,2028-01-09,L9-N090,1,A,confirmación_simple,1,5.8,0,225.84
L9-X051,2028-01-12,L9-N091,1,A,confirmación_simple,1,8.4,0,207.1
L9-X052,2028-01-13,L9-N092,1,B,confirmación_con_ventana,1,7.4,0,249.63
L9-X053,2028-01-14,L9-N093,1,A,confirmación_simple,1,9.6,0,240.53
L9-X054,2028-01-15,L9-N094,1,A,confirmación_simple,0,6.4,0,0.0
L9-X055,2028-01-16,L9-N095,1,B,confirmación_con_ventana,0,5.4,1,0.0
L9-X056,2028-01-19,L9-N096,1,B,confirmación_con_ventana,1,7.2,0,147.61
L9-X057,2028-01-20,L9-N097,1,A,confirmación_simple,0,9.9,0,0.0
L9-X058,2028-01-21,L9-N098,1,B,confirmación_con_ventana,0,7.6,0,0.0
L9-X059,2028-01-22,L9-N099,1,B,confirmación_con_ventana,1,10.9,0,237.4
L9-X060,2028-01-23,L9-N100,1,B,confirmación_con_ventana,1,8.6,0,223.6
L9-X061,2027-11-03,L9-N041,1,B,confirmación_con_ventana,1,8.3,0,219.19
L9-X062,2027-11-04,L9-N042,1,A,confirmación_simple,1,8.6,0,212.23
L9-X063,2027-11-05,L9-N043,1,B,confirmación_con_ventana,1,6.3,0,248.01
L9-X064,2027-11-06,L9-N044,1,B,confirmación_con_ventana,1,8.3,0,199.98
L9-X065,2027-11-07,L9-N045,1,B,confirmación_con_ventana,1,9.1,0,200.66
L9-X066,2027-11-10,L9-N046,1,B,confirmación_con_ventana,1,9.3,0,205.86
L9-X067,2027-11-11,L9-N047,1,B,confirmación_con_ventana,1,8.0,0,140.29
L9-X068,2027-11-12,L9-N048,1,B,confirmación_con_ventana,1,8.5,0,210.94
L9-X069,2027-11-13,L9-N049,1,A,confirmación_simple,0,8.2,0,0.0
L9-X070,2027-11-14,L9-N050,1,B,confirmación_con_ventana,0,7.7,1,0.0
L9-X071,2027-11-17,L9-N051,1,B,confirmación_con_ventana,0,8.3,0,0.0
L9-X072,2027-11-18,L9-N052,1,B,confirmación_con_ventana,1,8.5,0,240.83
L9-X073,2027-11-19,L9-N053,1,B,confirmación_con_ventana,1,7.4,0,249.71
L9-X074,2027-11-20,L9-N054,1,A,confirmación_simple,1,7.0,0,170.64
L9-X075,2027-11-21,L9-N055,1,A,confirmación_simple,1,5.7,0,248.68
L9-X076,2027-11-24,L9-N056,1,A,confirmación_simple,1,6.3,0,236.85
L9-X077,2027-11-25,L9-N057,1,A,confirmación_simple,0,5.2,1,0.0
L9-X078,2027-11-26,L9-N058,1,A,confirmación_simple,1,7.9,0,248.55
L9-X079,2027-11-27,L9-N059,1,B,confirmación_con_ventana,1,10.0,0,265.04
L9-X080,2027-11-28,L9-N060,1,B,confirmación_con_ventana,0,9.4,0,0.0
L9-X081,2027-12-01,L9-N061,1,B,confirmación_con_ventana,1,7.7,0,232.07
L9-X082,2027-12-02,L9-N062,1,B,confirmación_con_ventana,1,7.6,0,193.41
L9-X083,2027-12-03,L9-N063,1,B,confirmación_con_ventana,0,7.6,0,0.0
L9-X084,2027-12-04,L9-N064,1,B,confirmación_con_ventana,1,10.6,0,217.1
L9-X085,2027-12-05,L9-N065,1,A,confirmación_simple,1,8.7,0,193.93
L9-X086,2027-12-08,L9-N066,1,B,confirmación_con_ventana,1,6.4,0,236.49
L9-X087,2027-12-09,L9-N067,1,B,confirmación_con_ventana,1,7.7,0,218.38
L9-X088,2027-12-10,L9-N068,1,B,confirmación_con_ventana,1,9.9,0,230.2
L9-X089,2027-12-11,L9-N069,1,A,confirmación_simple,0,5.5,0,0.0
L9-X090,2027-12-12,L9-N070,1,B,confirmación_con_ventana,1,7.0,0,201.67
L9-X091,2027-12-15,L9-N071,1,B,confirmación_con_ventana,1,6.2,0,227.93
L9-X092,2027-12-16,L9-N072,1,B,confirmación_con_ventana,1,8.2,0,253.63
L9-X093,2027-12-17,L9-N073,1,B,confirmación_con_ventana,1,10.0,0,226.91
L9-X094,2027-12-18,L9-N074,1,B,confirmación_con_ventana,0,9.3,0,0.0
L9-X095,2027-12-19,L9-N075,1,A,confirmación_simple,1,7.2,0,163.86
L9-X096,2027-12-22,L9-N076,1,B,confirmación_con_ventana,1,7.9,0,261.79
L9-X097,2027-12-23,L9-N077,1,B,confirmación_con_ventana,0,6.5,1,0.0
L9-X098,2027-12-24,L9-N078,1,A,confirmación_simple,1,6.5,0,190.71
L9-X099,2027-12-25,L9-N079,1,A,confirmación_simple,0,7.8,0,0.0
L9-X100,2027-12-26,L9-N080,1,A,confirmación_simple,0,5.6,0,0.0
L9-X101,2027-12-29,L9-N081,1,A,confirmación_simple,1,6.1,0,182.9
L9-X102,2027-12-30,L9-N082,1,B,confirmación_con_ventana,1,7.8,0,226.81
L9-X103,2027-12-31,L9-N083,1,A,confirmación_simple,1,9.3,0,198.33
L9-X104,2028-01-01,L9-N084,1,B,confirmación_con_ventana,1,8.6,0,265.05
L9-X105,2028-01-02,L9-N085,1,A,confirmación_simple,1,7.7,0,192.58
L9-X106,2028-01-05,L9-N086,1,B,confirmación_con_ventana,1,9.5,0,225.56
L9-X107,2028-01-06,L9-N087,1,A,confirmación_simple,0,6.9,0,0.0
L9-X108,2028-01-07,L9-N088,1,B,confirmación_con_ventana,1,8.4,0,279.23
L9-X109,2028-01-08,L9-N089,1,A,confirmación_simple,1,6.6,0,207.9
L9-X110,2028-01-09,L9-N090,1,A,confirmación_simple,0,6.8,1,0.0
L9-X111,2028-01-12,L9-N091,1,B,confirmación_con_ventana,1,6.7,0,200.63
L9-X112,2028-01-13,L9-N092,1,A,confirmación_simple,1,4.9,0,233.18
L9-X113,2028-01-14,L9-N093,1,A,confirmación_simple,0,6.1,1,0.0
L9-X114,2028-01-15,L9-N094,1,A,confirmación_simple,0,9.6,0,0.0
L9-X115,2028-01-16,L9-N095,1,A,confirmación_simple,1,8.2,0,230.29
L9-X116,2028-01-19,L9-N096,1,B,confirmación_con_ventana,1,9.4,0,225.27
L9-X117,2028-01-20,L9-N097,1,A,confirmación_simple,1,7.3,0,213.54
L9-X118,2028-01-21,L9-N098,1,A,confirmación_simple,0,9.4,0,0.0
L9-X119,2028-01-22,L9-N099,1,B,confirmación_con_ventana,0,8.6,0,0.0
L9-X120,2028-01-23,L9-N100,1,B,confirmación_con_ventana,1,8.2,0,254.32
L9-X121,2027-11-03,L9-N041,1,A,confirmación_simple,0,9.5,0,0.0
L9-X122,2027-11-04,L9-N042,1,B,confirmación_con_ventana,1,8.2,0,223.4
L9-X123,2027-11-05,L9-N043,1,B,confirmación_con_ventana,0,8.0,0,0.0
L9-X124,2027-11-06,L9-N044,1,A,confirmación_simple,1,7.4,0,207.68
L9-X125,2027-11-07,L9-N045,1,A,confirmación_simple,1,7.3,0,176.35
L9-X126,2027-11-10,L9-N046,1,B,confirmación_con_ventana,0,8.3,0,0.0
L9-X127,2027-11-11,L9-N047,1,A,confirmación_simple,1,3.1,0,220.46
L9-X128,2027-11-12,L9-N048,1,A,confirmación_simple,1,6.4,0,262.37
L9-X129,2027-11-13,L9-N049,1,B,confirmación_con_ventana,1,8.3,0,182.45
L9-X130,2027-11-14,L9-N050,1,A,confirmación_simple,1,6.8,0,192.62
L9-X131,2027-11-17,L9-N051,1,B,confirmación_con_ventana,0,6.1,0,0.0
L9-X132,2027-11-18,L9-N052,1,A,confirmación_simple,1,8.7,0,183.09
L9-X133,2027-11-19,L9-N053,1,B,confirmación_con_ventana,1,7.5,0,243.47
L9-X134,2027-11-20,L9-N054,1,B,confirmación_con_ventana,1,6.3,0,212.49
L9-X135,2027-11-21,L9-N055,1,B,confirmación_con_ventana,1,8.7,0,226.12
L9-X136,2027-11-24,L9-N056,1,A,confirmación_simple,0,8.8,1,0.0
L9-X137,2027-11-25,L9-N057,1,A,confirmación_simple,1,7.7,0,215.92
L9-X138,2027-11-26,L9-N058,1,B,confirmación_con_ventana,1,7.9,0,181.07
L9-X139,2027-11-27,L9-N059,1,A,confirmación_simple,1,8.9,0,192.33
L9-X140,2027-11-28,L9-N060,1,A,confirmación_simple,1,7.9,0,209.5
L9-X141,2027-12-01,L9-N061,1,A,confirmación_simple,1,8.8,0,241.9
L9-X142,2027-12-02,L9-N062,1,A,confirmación_simple,0,5.9,0,0.0
L9-X143,2027-12-03,L9-N063,1,B,confirmación_con_ventana,1,7.8,0,305.17
L9-X144,2027-12-04,L9-N064,1,B,confirmación_con_ventana,0,10.3,0,0.0
L9-X145,2027-12-05,L9-N065,1,A,confirmación_simple,0,6.3,0,0.0
L9-X146,2027-12-08,L9-N066,1,B,confirmación_con_ventana,1,7.9,0,256.46
L9-X147,2027-12-09,L9-N067,1,B,confirmación_con_ventana,1,7.8,0,169.87
L9-X148,2027-12-10,L9-N068,1,A,confirmación_simple,1,8.0,0,159.87
L9-X149,2027-12-11,L9-N069,1,A,confirmación_simple,1,5.1,0,271.26
L9-X150,2027-12-12,L9-N070,1,B,confirmación_con_ventana,1,6.9,0,296.07
L9-X151,2027-12-15,L9-N071,1,B,confirmación_con_ventana,1,6.5,0,193.12
L9-X152,2027-12-16,L9-N072,1,A,confirmación_simple,1,6.6,0,213.71
L9-X153,2027-12-17,L9-N073,1,B,confirmación_con_ventana,1,9.1,0,213.06
L9-X154,2027-12-18,L9-N074,1,B,confirmación_con_ventana,0,9.9,0,0.0
L9-X155,2027-12-19,L9-N075,1,A,confirmación_simple,1,7.7,0,247.1
L9-X156,2027-12-22,L9-N076,1,A,confirmación_simple,1,6.4,0,196.05
L9-X157,2027-12-23,L9-N077,1,B,confirmación_con_ventana,1,7.3,0,252.0
L9-X158,2027-12-24,L9-N078,1,B,confirmación_con_ventana,1,6.9,0,211.95
L9-X159,2027-12-25,L9-N079,1,B,confirmación_con_ventana,1,5.3,0,165.55
L9-X160,2027-12-26,L9-N080,1,B,confirmación_con_ventana,0,8.7,0,0.0
L9-X161,2027-12-29,L9-N081,1,A,confirmación_simple,0,6.8,0,0.0
L9-X162,2027-12-30,L9-N082,1,A,confirmación_simple,0,8.8,0,0.0
L9-X163,2027-12-31,L9-N083,1,B,confirmación_con_ventana,1,6.0,0,207.2
L9-X164,2028-01-01,L9-N084,1,B,confirmación_con_ventana,1,6.4,0,208.07
L9-X165,2028-01-02,L9-N085,1,B,confirmación_con_ventana,1,8.0,0,208.18
L9-X166,2028-01-05,L9-N086,1,B,confirmación_con_ventana,1,8.4,0,203.03
L9-X167,2028-01-06,L9-N087,1,A,confirmación_simple,0,9.6,0,0.0
L9-X168,2028-01-07,L9-N088,1,B,confirmación_con_ventana,1,7.4,0,256.03
L9-X169,2028-01-08,L9-N089,1,A,confirmación_simple,1,8.1,0,234.25
L9-X170,2028-01-09,L9-N090,1,A,confirmación_simple,1,7.5,0,168.89
L9-X171,2028-01-12,L9-N091,1,B,confirmación_con_ventana,1,7.7,0,204.53
L9-X172,2028-01-13,L9-N092,1,A,confirmación_simple,1,7.5,0,182.61
L9-X173,2028-01-14,L9-N093,1,A,confirmación_simple,1,6.5,0,286.31
L9-X174,2028-01-15,L9-N094,1,B,confirmación_con_ventana,1,7.3,0,164.46
L9-X175,2028-01-16,L9-N095,1,A,confirmación_simple,0,7.2,0,0.0
L9-X176,2028-01-19,L9-N096,1,B,confirmación_con_ventana,1,8.1,0,196.33
L9-X177,2028-01-20,L9-N097,1,B,confirmación_con_ventana,1,8.0,0,201.7
L9-X178,2028-01-21,L9-N098,1,A,confirmación_simple,1,5.6,0,217.57
L9-X179,2028-01-22,L9-N099,1,A,confirmación_simple,1,7.2,0,183.0
L9-X180,2028-01-23,L9-N100,1,A,confirmación_simple,0,9.6,0,0.0
L9-X181,2027-11-03,L9-N041,1,B,confirmación_con_ventana,1,7.5,0,221.99
L9-X182,2027-11-04,L9-N042,1,B,confirmación_con_ventana,1,8.2,0,216.78
L9-X183,2027-11-05,L9-N043,1,A,confirmación_simple,1,6.6,0,215.65
L9-X184,2027-11-06,L9-N044,1,B,confirmación_con_ventana,1,7.4,0,202.73
L9-X185,2027-11-07,L9-N045,1,B,confirmación_con_ventana,1,8.6,0,214.68
L9-X186,2027-11-10,L9-N046,1,B,confirmación_con_ventana,1,8.0,0,180.89
L9-X187,2027-11-11,L9-N047,1,B,confirmación_con_ventana,1,8.8,0,262.99
L9-X188,2027-11-12,L9-N048,1,B,confirmación_con_ventana,0,6.8,0,0.0
L9-X189,2027-11-13,L9-N049,1,B,confirmación_con_ventana,1,7.7,0,264.3
L9-X190,2027-11-14,L9-N050,1,A,confirmación_simple,1,5.6,0,203.27
L9-X191,2027-11-17,L9-N051,1,A,confirmación_simple,0,6.3,0,0.0
L9-X192,2027-11-18,L9-N052,1,A,confirmación_simple,1,7.0,0,190.15
L9-X193,2027-11-19,L9-N053,1,B,confirmación_con_ventana,1,8.3,0,235.18
L9-X194,2027-11-20,L9-N054,1,A,confirmación_simple,1,7.1,0,211.26
L9-X195,2027-11-21,L9-N055,1,B,confirmación_con_ventana,0,8.1,0,0.0
L9-X196,2027-11-24,L9-N056,1,B,confirmación_con_ventana,0,7.7,0,0.0
L9-X197,2027-11-25,L9-N057,1,A,confirmación_simple,1,6.4,0,225.97
L9-X198,2027-11-26,L9-N058,1,B,confirmación_con_ventana,1,10.5,0,260.95
L9-X199,2027-11-27,L9-N059,1,A,confirmación_simple,1,9.3,0,216.69
L9-X200,2027-11-28,L9-N060,1,B,confirmación_con_ventana,1,7.9,0,279.66
L9-X201,2027-12-01,L9-N061,1,B,confirmación_con_ventana,1,7.6,0,215.98
L9-X202,2027-12-02,L9-N062,1,A,confirmación_simple,1,5.3,0,246.15
L9-X203,2027-12-03,L9-N063,1,A,confirmación_simple,0,8.0,0,0.0
L9-X204,2027-12-04,L9-N064,1,B,confirmación_con_ventana,1,5.8,0,154.53
L9-X205,2027-12-05,L9-N065,1,A,confirmación_simple,1,7.4,0,175.9
L9-X206,2027-12-08,L9-N066,1,B,confirmación_con_ventana,1,7.4,0,243.39
L9-X207,2027-12-09,L9-N067,1,A,confirmación_simple,1,9.4,0,226.27
L9-X208,2027-12-10,L9-N068,1,B,confirmación_con_ventana,1,6.6,0,229.28
L9-X209,2027-12-11,L9-N069,1,A,confirmación_simple,0,6.4,0,0.0
L9-X210,2027-12-12,L9-N070,1,A,confirmación_simple,1,6.8,0,239.87
L9-X211,2027-12-15,L9-N071,1,A,confirmación_simple,0,4.1,1,0.0
L9-X212,2027-12-16,L9-N072,1,B,confirmación_con_ventana,1,8.6,0,222.03
L9-X213,2027-12-17,L9-N073,1,B,confirmación_con_ventana,1,7.9,0,209.11
L9-X214,2027-12-18,L9-N074,1,B,confirmación_con_ventana,1,8.6,0,219.2
L9-X215,2027-12-19,L9-N075,1,A,confirmación_simple,0,7.8,0,0.0
L9-X216,2027-12-22,L9-N076,1,B,confirmación_con_ventana,1,6.6,0,152.43
L9-X217,2027-12-23,L9-N077,1,A,confirmación_simple,0,6.6,0,0.0
L9-X218,2027-12-24,L9-N078,1,B,confirmación_con_ventana,0,6.5,1,0.0
L9-X219,2027-12-25,L9-N079,1,B,confirmación_con_ventana,0,9.9,0,0.0
L9-X220,2027-12-26,L9-N080,1,A,confirmación_simple,1,10.0,0,211.7
L9-X221,2027-12-29,L9-N081,1,A,confirmación_simple,0,8.4,0,0.0
L9-X222,2027-12-30,L9-N082,1,A,confirmación_simple,0,5.3,1,0.0
L9-X223,2027-12-31,L9-N083,1,B,confirmación_con_ventana,1,7.9,0,225.6
L9-X224,2028-01-01,L9-N084,1,B,confirmación_con_ventana,1,6.0,0,253.13
L9-X225,2028-01-02,L9-N085,1,A,confirmación_simple,1,6.6,0,238.68
L9-X226,2028-01-05,L9-N086,1,A,confirmación_simple,0,8.6,0,0.0
L9-X227,2028-01-06,L9-N087,1,A,confirmación_simple,1,8.4,0,199.34
L9-X228,2028-01-07,L9-N088,1,A,confirmación_simple,1,6.1,0,226.36
L9-X229,2028-01-08,L9-N089,1,B,confirmación_con_ventana,1,7.2,0,222.28
L9-X230,2028-01-09,L9-N090,1,A,confirmación_simple,0,7.0,0,0.0
L9-X231,2028-01-12,L9-N091,1,B,confirmación_con_ventana,1,9.5,0,171.75
L9-X232,2028-01-13,L9-N092,1,A,confirmación_simple,1,7.6,0,188.47
L9-X233,2028-01-14,L9-N093,1,B,confirmación_con_ventana,1,6.9,0,194.0
L9-X234,2028-01-15,L9-N094,1,A,confirmación_simple,1,6.0,0,242.29
L9-X235,2028-01-16,L9-N095,1,A,confirmación_simple,0,8.8,0,0.0
L9-X236,2028-01-19,L9-N096,1,A,confirmación_simple,1,8.7,0,270.84
L9-X237,2028-01-20,L9-N097,1,A,confirmación_simple,1,8.5,0,191.74
L9-X238,2028-01-21,L9-N098,1,A,confirmación_simple,0,5.4,0,0.0
L9-X239,2028-01-22,L9-N099,1,A,confirmación_simple,0,7.0,0,0.0
L9-X240,2028-01-23,L9-N100,1,B,confirmación_con_ventana,1,8.5,0,205.59
L9-X241,2027-11-03,L9-N041,1,B,confirmación_con_ventana,0,5.2,0,0.0
L9-X242,2027-11-04,L9-N042,1,B,confirmación_con_ventana,1,7.8,0,211.46
L9-X243,2027-11-05,L9-N043,1,A,confirmación_simple,0,4.3,0,0.0
L9-X244,2027-11-06,L9-N044,1,A,confirmación_simple,0,5.5,0,0.0
L9-X245,2027-11-07,L9-N045,1,B,confirmación_con_ventana,1,7.6,0,224.7
L9-X246,2027-11-10,L9-N046,1,A,confirmación_simple,1,8.6,0,189.03
L9-X247,2027-11-11,L9-N047,1,B,confirmación_con_ventana,1,6.3,0,177.04
L9-X248,2027-11-12,L9-N048,1,A,confirmación_simple,1,6.8,0,225.65
L9-X249,2027-11-13,L9-N049,1,B,confirmación_con_ventana,0,9.4,0,0.0
L9-X250,2027-11-14,L9-N050,1,B,confirmación_con_ventana,1,6.7,0,235.62
L9-X251,2027-11-17,L9-N051,1,A,confirmación_simple,0,9.0,0,0.0
L9-X252,2027-11-18,L9-N052,1,B,confirmación_con_ventana,1,9.5,0,163.42
L9-X253,2027-11-19,L9-N053,1,B,confirmación_con_ventana,1,8.3,0,229.89
L9-X254,2027-11-20,L9-N054,1,A,confirmación_simple,0,4.1,0,0.0
L9-X255,2027-11-21,L9-N055,1,B,confirmación_con_ventana,0,7.8,0,0.0
L9-X256,2027-11-24,L9-N056,1,B,confirmación_con_ventana,1,8.6,0,253.42
L9-X257,2027-11-25,L9-N057,1,A,confirmación_simple,1,5.4,0,246.92
L9-X258,2027-11-26,L9-N058,1,B,confirmación_con_ventana,1,9.0,0,275.06
L9-X259,2027-11-27,L9-N059,1,B,confirmación_con_ventana,0,6.4,0,0.0
L9-X260,2027-11-28,L9-N060,1,B,confirmación_con_ventana,1,7.5,0,204.15
L9-X261,2027-12-01,L9-N061,1,A,confirmación_simple,1,6.9,0,228.01
L9-X262,2027-12-02,L9-N062,1,A,confirmación_simple,0,7.8,0,0.0
L9-X263,2027-12-03,L9-N063,1,A,confirmación_simple,1,7.7,0,211.0
L9-X264,2027-12-04,L9-N064,1,A,confirmación_simple,0,7.6,0,0.0
L9-X265,2027-12-05,L9-N065,1,A,confirmación_simple,1,7.4,0,228.11
L9-X266,2027-12-08,L9-N066,1,A,confirmación_simple,0,6.7,0,0.0
L9-X267,2027-12-09,L9-N067,1,B,confirmación_con_ventana,1,6.9,0,270.51
L9-X268,2027-12-10,L9-N068,1,A,confirmación_simple,0,5.8,0,0.0
L9-X269,2027-12-11,L9-N069,1,A,confirmación_simple,1,9.9,0,205.59
L9-X270,2027-12-12,L9-N070,1,A,confirmación_simple,1,8.6,0,215.82
L9-X271,2027-12-15,L9-N071,1,B,confirmación_con_ventana,1,8.4,0,294.66
L9-X272,2027-12-16,L9-N072,1,A,confirmación_simple,0,8.0,0,0.0
L9-X273,2027-12-17,L9-N073,1,B,confirmación_con_ventana,1,7.6,0,217.06
L9-X274,2027-12-18,L9-N074,1,B,confirmación_con_ventana,1,6.0,0,176.61
L9-X275,2027-12-19,L9-N075,1,B,confirmación_con_ventana,1,7.8,0,192.27
L9-X276,2027-12-22,L9-N076,1,A,confirmación_simple,1,10.1,0,243.45
L9-X277,2027-12-23,L9-N077,1,B,confirmación_con_ventana,1,6.7,0,181.56
L9-X278,2027-12-24,L9-N078,1,B,confirmación_con_ventana,1,9.6,0,180.78
L9-X279,2027-12-25,L9-N079,1,A,confirmación_simple,0,8.1,1,0.0
L9-X280,2027-12-26,L9-N080,1,B,confirmación_con_ventana,1,6.5,0,247.31
L9-X281,2027-12-29,L9-N081,1,A,confirmación_simple,1,7.7,0,209.29
L9-X282,2027-12-30,L9-N082,1,B,confirmación_con_ventana,1,7.8,0,176.73
L9-X283,2027-12-31,L9-N083,1,A,confirmación_simple,1,9.0,0,218.32
L9-X284,2028-01-01,L9-N084,1,A,confirmación_simple,0,8.5,0,0.0
L9-X285,2028-01-02,L9-N085,1,A,confirmación_simple,0,7.3,0,0.0
L9-X286,2028-01-05,L9-N086,1,B,confirmación_con_ventana,1,4.4,0,241.15
L9-X287,2028-01-06,L9-N087,1,A,confirmación_simple,1,8.6,0,202.75
L9-X288,2028-01-07,L9-N088,1,A,confirmación_simple,1,8.1,0,250.32
L9-X289,2028-01-08,L9-N089,1,A,confirmación_simple,1,6.9,0,187.02
L9-X290,2028-01-09,L9-N090,1,A,confirmación_simple,0,4.5,0,0.0
L9-X291,2028-01-12,L9-N091,1,B,confirmación_con_ventana,1,8.0,0,204.1
L9-X292,2028-01-13,L9-N092,1,B,confirmación_con_ventana,1,6.0,0,240.61
L9-X293,2028-01-14,L9-N093,1,B,confirmación_con_ventana,0,6.0,0,0.0
L9-X294,2028-01-15,L9-N094,1,A,confirmación_simple,0,7.3,0,0.0
L9-X295,2028-01-16,L9-N095,1,A,confirmación_simple,1,5.6,0,203.11
L9-X296,2028-01-19,L9-N096,1,A,confirmación_simple,1,5.9,0,222.17
L9-X297,2028-01-20,L9-N097,1,A,confirmación_simple,1,6.8,0,243.53
L9-X298,2028-01-21,L9-N098,1,A,confirmación_simple,1,7.7,0,231.31
L9-X299,2028-01-22,L9-N099,1,A,confirmación_simple,1,9.1,0,236.78
L9-X300,2028-01-23,L9-N100,1,A,confirmación_simple,1,9.7,0,207.55
L9-X301,2027-11-03,L9-N041,1,B,confirmación_con_ventana,0,8.2,0,0.0
L9-X302,2027-11-04,L9-N042,1,B,confirmación_con_ventana,1,8.7,0,238.25
L9-X303,2027-11-05,L9-N043,1,A,confirmación_simple,1,9.7,0,205.37
L9-X304,2027-11-06,L9-N044,1,A,confirmación_simple,1,8.2,0,186.05
L9-X305,2027-11-07,L9-N045,1,A,confirmación_simple,0,8.5,0,0.0
L9-X306,2027-11-10,L9-N046,1,A,confirmación_simple,0,5.9,0,0.0
L9-X307,2027-11-11,L9-N047,1,A,confirmación_simple,0,6.2,0,0.0
L9-X308,2027-11-12,L9-N048,1,B,confirmación_con_ventana,1,9.3,0,238.86
L9-X309,2027-11-13,L9-N049,1,B,confirmación_con_ventana,1,8.2,0,221.99
L9-X310,2027-11-14,L9-N050,1,B,confirmación_con_ventana,1,7.6,0,206.78
L9-X311,2027-11-17,L9-N051,1,B,confirmación_con_ventana,1,8.5,0,250.86
