pedido_id,fecha_hora,noche_id,dia_semana,semana_id,tipo_taco,num_tacos,nivel_salsa,para_llevar,minuto_turno,encargo_programado,estado_calidad
L3-P0164,2026-07-09T19:43,L3-N05,jueves,L3-W02,campechano,4,alta,0,103,0,válido
L3-P0165,2026-07-09T20:56,L3-N05,jueves,L3-W02,tripa,4,media,1,176,0,válido
L3-P0166,2026-07-09T19:58,L3-N05,jueves,L3-W02,pastor,4,media,0,118,0,válido
L3-P0167,2026-07-09T20:03,L3-N05,jueves,L3-W02,suadero,5,media,1,123,0,válido
L3-P0168,2026-07-09T21:19,L3-N05,jueves,L3-W02,campechano,8,sin,0,199,0,válido
L3-P0169,2026-07-09T19:38,L3-N05,jueves,L3-W02,tripa,1,media,0,98,0,válido
L3-P0170,2026-07-09T21:33,L3-N05,jueves,L3-W02,pastor,3,alta,0,213,0,válido
L3-P0171,2026-07-09T22:02,L3-N05,jueves,L3-W02,suadero,4,media,1,242,0,válido
L3-P0172,2026-07-09T20:26,L3-N05,jueves,L3-W02,campechano,6,alta,0,146,0,válido
L3-P0173,2026-07-09T18:36,L3-N05,jueves,L3-W02,tripa,6,sin,0,36,0,válido
L3-P0174,2026-07-09T21:22,L3-N05,jueves,L3-W02,pastor,4,media,1,202,0,válido
L3-P0175,2026-07-09T18:35,L3-N05,jueves,L3-W02,suadero,5,alta,1,35,0,válido
L3-P0176,2026-07-09T21:02,L3-N05,jueves,L3-W02,campechano,10,alta,1,182,0,válido
L3-P0177,2026-07-09T20:23,L3-N05,jueves,L3-W02,tripa,10,sin,0,143,0,válido
L3-P0178,2026-07-09T20:50,L3-N05,jueves,L3-W02,pastor,4,media,0,170,0,válido
L3-P0179,2026-07-09T20:27,L3-N05,jueves,L3-W02,suadero,3,sin,0,147,0,válido
L3-P0180,2026-07-09T22:07,L3-N05,jueves,L3-W02,campechano,8,alta,0,247,0,válido
L3-P0181,2026-07-09T18:56,L3-N05,jueves,L3-W02,tripa,4,sin,0,56,0,válido
L3-P0182,2026-07-09T19:27,L3-N05,jueves,L3-W02,pastor,3,sin,0,87,0,válido
L3-P0183,2026-07-09T21:06,L3-N05,jueves,L3-W02,suadero,3,alta,1,186,0,válido
L3-P0184,2026-07-09T19:10,L3-N05,jueves,L3-W02,campechano,5,alta,0,70,0,válido
L3-P0185,2026-07-09T20:13,L3-N05,jueves,L3-W02,tripa,5,media,0,133,0,válido
L3-P0186,2026-07-10T20:34,L3-N06,viernes,L3-W02,pastor,4,sin,1,154,0,válido
L3-P0187,2026-07-10T22:18,L3-N06,viernes,L3-W02,suadero,4,media,0,258,0,válido
L3-P0188,2026-07-10T19:52,L3-N06,viernes,L3-W02,campechano,3,alta,0,112,0,válido
L3-P0189,2026-07-10T21:36,L3-N06,viernes,L3-W02,tripa,3,alta,1,216,0,válido
L3-P0190,2026-07-10T19:44,L3-N06,viernes,L3-W02,pastor,4,media,1,104,0,válido
L3-P0191,2026-07-10T20:03,L3-N06,viernes,L3-W02,suadero,3,sin,0,123,0,válido
L3-P0192,2026-07-10T21:00,L3-N06,viernes,L3-W02,campechano,8,alta,0,180,0,válido
L3-P0193,2026-07-10T19:03,L3-N06,viernes,L3-W02,tripa,3,media,0,63,0,válido
L3-P0194,2026-07-10T20:04,L3-N06,viernes,L3-W02,pastor,3,media,1,124,0,válido
L3-P0195,2026-07-10T21:46,L3-N06,viernes,L3-W02,suadero,6,sin,1,226,0,válido
L3-P0196,2026-07-10T19:13,L3-N06,viernes,L3-W02,campechano,5,alta,1,73,0,válido
L3-P0197,2026-07-10T20:31,L3-N06,viernes,L3-W02,tripa,10,sin,1,151,0,válido
L3-P0198,2026-07-10T20:34,L3-N06,viernes,L3-W02,pastor,8,media,0,154,0,válido
L3-P0199,2026-07-10T21:26,L3-N06,viernes,L3-W02,suadero,4,media,1,206,0,válido
L3-P0200,2026-07-10T19:33,L3-N06,viernes,L3-W02,campechano,4,sin,0,93,0,válido
L3-P0201,2026-07-10T21:57,L3-N06,viernes,L3-W02,tripa,4,media,1,237,0,válido
L3-P0202,2026-07-10T19:54,L3-N06,viernes,L3-W02,pastor,3,sin,0,114,0,válido
L3-P0203,2026-07-10T18:51,L3-N06,viernes,L3-W02,suadero,3,media,0,51,0,válido
L3-P0204,2026-07-10T22:21,L3-N06,viernes,L3-W02,campechano,3,media,1,261,0,válido
L3-P0205,2026-07-10T19:11,L3-N06,viernes,L3-W02,tripa,5,sin,0,71,0,válido
L3-P0206,2026-07-10T19:39,L3-N06,viernes,L3-W02,pastor,2,media,0,99,0,válido
L3-P0207,2026-07-10T20:23,L3-N06,viernes,L3-W02,suadero,2,alta,1,143,0,válido
L3-P0208,2026-07-10T19:06,L3-N06,viernes,L3-W02,campechano,4,alta,0,66,0,válido
L3-P0209,2026-07-10T19:41,L3-N06,viernes,L3-W02,tripa,5,alta,0,101,0,válido
L3-P0210,2026-07-10T21:08,L3-N06,viernes,L3-W02,pastor,5,alta,1,188,0,válido
L3-P0211,2026-07-10T20:59,L3-N06,viernes,L3-W02,suadero,6,sin,0,179,0,válido
L3-P0212,2026-07-10T20:04,L3-N06,viernes,L3-W02,campechano,5,alta,1,124,0,válido
L3-P0213,2026-07-10T21:52,L3-N06,viernes,L3-W02,tripa,4,sin,0,232,0,válido
L3-P0214,2026-07-10T21:14,L3-N06,viernes,L3-W02,pastor,4,media,1,194,0,válido
L3-P0215,2026-07-10T20:10,L3-N06,viernes,L3-W02,suadero,12,media,0,130,0,válido
L3-P0216,2026-07-10T21:57,L3-N06,viernes,L3-W02,campechano,10,alta,1,237,0,válido
L3-P0217,2026-07-10T19:16,L3-N06,viernes,L3-W02,tripa,5,alta,1,76,0,válido
L3-P0218,2026-07-10T19:37,L3-N06,viernes,L3-W02,pastor,4,alta,0,97,0,válido
L3-P0219,2026-07-10T19:24,L3-N06,viernes,L3-W02,suadero,4,media,0,84,0,válido
L3-P0220,2026-07-10T18:47,L3-N06,viernes,L3-W02,campechano,5,sin,0,47,0,válido
L3-P0221,2026-07-10T19:54,L3-N06,viernes,L3-W02,tripa,4,media,1,114,0,válido
L3-P0222,2026-07-10T19:44,L3-N06,viernes,L3-W02,pastor,5,sin,1,104,0,válido
L3-P0223,2026-07-10T19:39,L3-N06,viernes,L3-W02,suadero,3,media,1,99,0,válido
L3-P0224,2026-07-10T20:44,L3-N06,viernes,L3-W02,campechano,4,alta,0,164,0,válido
L3-P0225,2026-07-10T20:36,L3-N06,viernes,L3-W02,tripa,3,media,1,156,0,válido
L3-P0226,2026-07-11T19:32,L3-N07,sábado,L3-W02,pastor,6,sin,0,92,0,válido
L3-P0227,2026-07-11T19:47,L3-N07,sábado,L3-W02,suadero,12,alta,1,107,0,válido
L3-P0228,2026-07-11T20:03,L3-N07,sábado,L3-W02,campechano,10,media,1,123,0,válido
L3-P0229,2026-07-11T22:11,L3-N07,sábado,L3-W02,tripa,10,media,0,251,0,válido
L3-P0230,2026-07-11T21:40,L3-N07,sábado,L3-W02,pastor,2,alta,1,220,0,válido
L3-P0231,2026-07-11T20:22,L3-N07,sábado,L3-W02,suadero,4,alta,1,142,0,válido
L3-P0232,2026-07-11T20:52,L3-N07,sábado,L3-W02,campechano,10,media,1,172,0,válido
L3-P0233,2026-07-11T19:54,L3-N07,sábado,L3-W02,tripa,3,sin,1,114,0,válido
L3-P0234,2026-07-11T21:30,L3-N07,sábado,L3-W02,pastor,1,media,0,210,0,válido
L3-P0235,2026-07-11T20:32,L3-N07,sábado,L3-W02,suadero,5,media,1,152,0,válido
L3-P0236,2026-07-11T20:26,L3-N07,sábado,L3-W02,campechano,2,alta,1,146,0,válido
L3-P0237,2026-07-11T20:11,L3-N07,sábado,L3-W02,tripa,3,media,0,131,0,válido
L3-P0238,2026-07-11T22:16,L3-N07,sábado,L3-W02,pastor,6,sin,1,256,0,válido
L3-P0239,2026-07-11T19:18,L3-N07,sábado,L3-W02,suadero,4,sin,1,78,0,válido
L3-P0240,2026-07-11T19:59,L3-N07,sábado,L3-W02,campechano,4,media,1,119,0,válido
L3-P0241,2026-07-11T18:42,L3-N07,sábado,L3-W02,tripa,4,sin,1,42,0,válido
L3-P0242,2026-07-11T20:22,L3-N07,sábado,L3-W02,pastor,4,sin,1,142,0,válido
L3-P0243,2026-07-11T20:25,L3-N07,sábado,L3-W02,suadero,3,alta,1,145,0,válido
L3-P0244,2026-07-11T19:28,L3-N07,sábado,L3-W02,campechano,5,alta,1,88,0,válido
L3-P0245,2026-07-11T19:28,L3-N07,sábado,L3-W02,tripa,8,media,1,88,0,válido
L3-P0246,2026-07-11T18:25,L3-N07,sábado,L3-W02,pastor,1,sin,1,25,0,válido
L3-P0247,2026-07-11T21:00,L3-N07,sábado,L3-W02,suadero,6,alta,1,180,0,válido
L3-P0248,2026-07-11T19:20,L3-N07,sábado,L3-W02,campechano,4,media,1,80,0,válido
L3-P0249,2026-07-11T20:08,L3-N07,sábado,L3-W02,tripa,5,media,1,128,0,válido
L3-P0250,2026-07-11T21:40,L3-N07,sábado,L3-W02,pastor,10,media,1,220,0,válido
L3-P0251,2026-07-11T19:10,L3-N07,sábado,L3-W02,suadero,6,media,0,70,0,válido
L3-P0252,2026-07-11T21:44,L3-N07,sábado,L3-W02,campechano,6,media,1,224,0,válido
L3-P0253,2026-07-11T19:38,L3-N07,sábado,L3-W02,tripa,6,sin,0,98,0,válido
L3-P0254,2026-07-11T22:01,L3-N07,sábado,L3-W02,pastor,10,sin,0,241,0,válido
L3-P0255,2026-07-11T19:37,L3-N07,sábado,L3-W02,suadero,4,sin,1,97,0,válido
L3-P0256,2026-07-11T20:57,L3-N07,sábado,L3-W02,campechano,5,sin,0,177,0,válido
L3-P0257,2026-07-11T21:28,L3-N07,sábado,L3-W02,tripa,5,alta,1,208,0,válido
L3-P0258,2026-07-11T20:46,L3-N07,sábado,L3-W02,pastor,12,sin,0,166,0,válido
L3-P0259,2026-07-11T21:13,L3-N07,sábado,L3-W02,suadero,10,sin,1,193,0,válido
L3-P0260,2026-07-11T21:42,L3-N07,sábado,L3-W02,campechano,6,media,1,222,0,válido
L3-P0261,2026-07-11T20:22,L3-N07,sábado,L3-W02,tripa,4,media,0,142,0,válido
L3-P0262,2026-07-11T20:16,L3-N07,sábado,L3-W02,pastor,10,alta,0,136,0,válido
L3-P0263,2026-07-11T20:36,L3-N07,sábado,L3-W02,suadero,8,sin,1,156,0,válido
L3-P0264,2026-07-11T20:27,L3-N07,sábado,L3-W02,campechano,4,alta,0,147,0,válido
L3-P0265,2026-07-11T21:25,L3-N07,sábado,L3-W02,tripa,3,sin,1,205,0,válido
L3-P0266,2026-07-11T19:42,L3-N07,sábado,L3-W02,pastor,26,sin,1,102,1,válido
L3-P0267,2026-07-12T21:48,L3-N08,domingo,L3-W02,suadero,6,sin,1,228,0,válido
L3-P0268,2026-07-12T20:16,L3-N08,domingo,L3-W02,campechano,2,sin,0,136,0,válido
